"filename", "language", "JSON", "JSON with Comments", "JavaScript", "HTML", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\issueType\task\index.vue", "Vue", 0, 0, 0, 0, 0, 194, 0, 0, 11, 17, 222
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\FilterModal\index.vue", "Vue", 0, 0, 0, 0, 0, 36, 0, 0, 2, 8, 46
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\ProjectModal\index.vue", "Vue", 0, 0, 0, 0, 0, 69, 0, 0, 22, 13, 104
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\TeamModal\index.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 3, 10, 46
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\UpdateDateTaskModel\index.vue", "Vue", 0, 0, 0, 0, 0, 64, 0, 0, 1, 9, 74
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\UpdateDateTaskModel\index_test.vue", "Vue", 0, 0, 0, 0, 0, 64, 0, 0, 2, 12, 78
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\YourWorkModal\index.vue", "Vue", 0, 0, 0, 0, 0, 113, 0, 0, 12, 21, 146
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\addLabelModal\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\addLabelModal\index.vue", "Vue", 0, 0, 0, 0, 0, 61, 0, 0, 0, 16, 77
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\addPeopleModal\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\addPeopleModal\index.vue", "Vue", 0, 0, 0, 0, 0, 85, 0, 0, 0, 14, 99
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\completeSprintModal\index.vue", "Vue", 0, 0, 0, 0, 0, 65, 0, 0, 5, 18, 88
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\deleteSprintModal\index.vue", "Vue", 0, 0, 0, 0, 0, 79, 0, 0, 3, 30, 112
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\shareModal\index.vue", "Vue", 0, 0, 0, 0, 0, 103, 0, 0, 2, 16, 121
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\startSprintModal\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 2, 2, 12
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\startSprintModal\index.vue", "Vue", 0, 0, 0, 0, 0, 158, 0, 0, 4, 34, 196
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\updateSprintModal\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 2, 2, 12
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\mainpage\modal\updateSprintModal\index.vue", "Vue", 0, 0, 0, 0, 0, 154, 0, 0, 4, 34, 192
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\profile\profileDetails\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\profile\profileDetails\index.vue", "Vue", 0, 0, 0, 0, 0, 196, 0, 0, 2, 18, 216
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\profile\profileHeader\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\profile\profileHeader\index.vue", "Vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\profile\workOn\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\profile\workOn\index.vue", "Vue", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\project\CreateProject\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 9, 4, 40
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\project\CreateProject\index.vue", "Vue", 0, 0, 0, 0, 0, 80, 0, 0, 15, 16, 111
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\project\projectsetings\ProjectAccess\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\project\projectsetings\ProjectAccess\index.vue", "Vue", 0, 0, 0, 0, 0, 268, 0, 0, 4, 21, 293
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\project\projectsetings\ProjectDetail\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\project\projectsetings\ProjectDetail\index.vue", "Vue", 0, 0, 0, 0, 0, 173, 0, 0, 2, 10, 185
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\ItemTask\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 1, 1, 21
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\ItemTask\index.vue", "Vue", 0, 0, 0, 0, 0, 179, 0, 0, 0, 19, 198
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\MainNavbar\index.vue", "Vue", 0, 0, 0, 0, 0, 120, 0, 0, 2, 16, 138
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\Navbar\index.vue", "Vue", 0, 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\SidebarIssueType\index.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 6, 36, 166
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\Sidebar\index.vue", "Vue", 0, 0, 0, 0, 0, 168, 0, 0, 6, 34, 208
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\backlogTask\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 2, 1, 16
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\backlogTask\index.vue", "Vue", 0, 0, 0, 0, 0, 324, 0, 0, 10, 56, 390
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\components\shared\iconUser\index.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
